Nb de frequency :   120
 0.2000
 -0.165050E-07 -0.607644E+00  0.299290E-06  0.199767E+00 -0.186164E-07 -0.206555E-07
  0.387224E+00  0.289970E-07  0.491654E-06 -0.498386E-07  0.124457E+01 -0.157671E-06
 -0.452754E-07  0.117541E-06  0.647254E-07 -0.576137E-07 -0.166338E-06  0.450610E-01
 9.2303
  0.209789E+00 -0.116051E-06  0.185762E-06 -0.683342E-08  0.567407E+00 -0.497480E-07
  0.621892E-07  0.214698E+01 -0.697110E-06 -0.696571E+00 -0.946951E-07 -0.340160E-07
  0.889184E-07  0.128515E-05  0.229480E+02 -0.148119E-06 -0.656269E-07 -0.433410E-06
  0.100067E-07 -0.646132E+00 -0.389522E-07  0.212162E+00  0.666634E-07 -0.649763E-08
  0.363348E+00 -0.180523E-06  0.301409E-06 -0.550703E-07  0.134688E+01 -0.730689E-07
  0.557419E-07 -0.402954E-07  0.111618E-06  0.853926E-07  0.324382E-06  0.547753E-01
 9.5647
  0.178875E+00 -0.345178E-07  0.536418E-06 -0.311774E-07  0.486840E+00  0.515332E-07
 -0.101048E-06  0.225972E+01  0.110541E-05 -0.732294E+00 -0.262398E-06  0.354747E-07
  0.623548E-07 -0.779435E-07  0.142925E+02  0.851602E-06  0.196846E-06  0.371623E-07
  0.751598E-08 -0.678522E+00 -0.681310E-07  0.223288E+00  0.655276E-07 -0.559349E-08
  0.306607E+00 -0.115802E-06  0.103136E-05 -0.675046E-08  0.141836E+01  0.347962E-10
 -0.584576E-08  0.467661E-07  0.821886E-07 -0.411639E-07  0.736678E-07  0.649313E-01
 9.8992
  0.136049E+00  0.134832E-06 -0.209487E-06  0.435576E-07  0.331873E+00  0.299087E-07
 -0.275139E-07  0.234755E+01  0.386923E-06 -0.762066E+00  0.607485E-06  0.117258E-06
 -0.423512E-07  0.878139E-06  0.660608E+01  0.178048E-06  0.534117E-07 -0.197387E-06
  0.324116E-08 -0.705193E+00 -0.250146E-06  0.233493E+00  0.237514E-07  0.314213E-08
  0.200109E+00  0.117546E-06  0.154712E-06  0.783641E-07  0.140394E+01 -0.182766E-07
 -0.134688E-07 -0.247769E-07 -0.163283E-06 -0.129827E-07 -0.899343E-07  0.751072E-01
10.2336
  0.101087E+00  0.919573E-07  0.169814E-06 -0.145777E-07  0.948748E-01  0.294207E-07
  0.811607E-07  0.241184E+01  0.319877E-06 -0.786102E+00  0.340186E-07  0.459973E-07
  0.792247E-07  0.108175E-05  0.212161E+01 -0.307312E-06 -0.253213E-06  0.366154E-07
  0.588229E-08 -0.726510E+00 -0.211539E-06  0.243057E+00  0.836731E-07  0.157202E-07
  0.394602E-01  0.282350E-06  0.914286E-06  0.142441E-06  0.121049E+01 -0.132859E-06
 -0.991426E-07 -0.405059E-07 -0.504090E-07 -0.144367E-06  0.142883E-08  0.847544E-01
10.5681
  0.119322E+00 -0.202843E-06 -0.387155E-07  0.754439E-07 -0.142521E+00 -0.359858E-07
  0.248210E-06  0.245478E+01 -0.512106E-06 -0.804514E+00 -0.312521E-06 -0.207995E-07
  0.645900E-07 -0.586846E-06  0.801074E+00 -0.202497E-06 -0.263483E-06  0.954432E-07
 -0.545939E-08 -0.742588E+00 -0.293731E-07  0.252260E+00 -0.353262E-07 -0.468662E-07
 -0.119468E+00  0.510568E-07  0.715488E-07  0.322950E-07  0.809500E+00 -0.143405E-07
 -0.222605E-07  0.166088E-07  0.298959E-06 -0.105055E-07 -0.485685E-07  0.932642E-01
10.9025
  0.205550E+00 -0.311594E-06 -0.278435E-07  0.175410E-07 -0.234714E+00  0.191375E-07
  0.105345E-06  0.247742E+01 -0.628264E-07 -0.816892E+00 -0.278562E-06  0.950924E-07
  0.111374E-06 -0.248767E-06  0.142866E+01 -0.454540E-06 -0.410093E-06 -0.201171E-06
 -0.309372E-08 -0.753052E+00 -0.230919E-06  0.261444E+00  0.191846E-07 -0.117006E-07
 -0.179092E+00  0.131999E-06 -0.186337E-06 -0.449185E-08  0.389938E+00 -0.184830E-07
  0.571149E-07  0.368074E-07 -0.264950E-07  0.112812E-06  0.373469E-08  0.100152E+00
11.2370
  0.303483E+00  0.234160E-06 -0.189519E-06 -0.449270E-07 -0.168331E+00  0.438232E-07
 -0.172840E-06  0.247956E+01 -0.725373E-06 -0.822027E+00  0.718211E-07 -0.815349E-07
  0.487288E-07  0.198840E-06  0.292947E+01  0.462351E-06 -0.321674E-08 -0.105061E-07
  0.817598E-08 -0.756918E+00 -0.119451E-06  0.270971E+00  0.181976E-07 -0.339201E-07
 -0.132049E+00  0.456219E-07 -0.137091E-06  0.887017E-07  0.155220E+00  0.293518E-07
  0.327141E-07  0.451314E-07 -0.193362E-07 -0.629244E-07  0.592696E-07  0.105389E+00
11.5714
  0.361628E+00  0.862139E-07  0.157273E-06 -0.271102E-07 -0.410621E-01  0.292571E-07
 -0.149780E-06  0.245622E+01  0.800846E-06 -0.817324E+00 -0.113912E-06  0.431490E-08
 -0.203916E-06  0.107767E-07  0.456573E+01  0.179332E-06 -0.121613E-06 -0.473797E-07
 -0.370450E-08 -0.751824E+00 -0.444540E-06  0.281261E+00  0.167525E-07  0.371292E-07
 -0.449696E-01  0.136730E-06  0.000000E+00 -0.168492E-07  0.949045E-01  0.449077E-07
